assemblage_code,analyst_id,analysis_order,flake_id,completeness,damage,damage_comment,dorsal_cortex,Dorsal_Cortex_Location,dorsal_cortex_location_other,platform_cortex,dorsal_scar_count,directionality,Proximal_Scars,Left_Scars,Distal_Scars,Right_Scars,Mass,MaximumDimension,MaximumWidth,MaximumThickness,TechLength,TechMaxWidth,TechMaxThickness,TECHWIDTHPROX,TECHWIDTHMES,TECHWIDTHDIST,TECHTHICKPROX,TECHTHICKMES,TECHTHICKDIST,PLATFWIDTH,PLATFTHICKIMPACT,PLATFTHICKMID,PLATFTHICKMAX,EDGEPLATF,EDGEPLATF_DEG,PLATFMORPH,PLATFLIPP,BULB,SHATTBULB,INITIATION,VENTR_PLANE_FORM,ANGLE_HEIGHT,SECTION,LATEDGETYPE,FLAKETERM,DISTPLANFORM,DISTPROFANGLE,KOMBEWA,FLK_TYPE,RED_SYST,FLK_FORM,REMARK
chert_condition_B,0202a,2,39,complete,no,,10,Other,prox right and distal left,Absent,4,Multidirectional,1,1,0,1,84.69999695,110.1600037,52.52000046,27.24,110.2200012,53.06999969,22.86000061,31.26000023,44.04000092,37.2,21.25,21.96999931,1.5,25.04999924,17.12000084,16.37,16.37000084,2.460000038,77.96029833,Plain,No,Yes,No,Hertzian,BULBAR,7,TRIANGULAR,AMORPH,FEATHER,Irreg,60,No,,,FLAKE,
chert_condition_B,9d812,1,87,complete,no,,0,,,Absent,2,Unidirectional,2,0,0,0,19.24,51.11,44.53,18.46,43.17,47.24,19.58,45.84,44.3,29.71,13.21,8.59,4.35,33.86,18.14,18.14,18.14,2.44,77.50325667,Plain,No,Yes,No,Hertzian,FLAT,7,TRIANGULAR,DIAMOND,FEATHER,Pointed,0-30,No,,,FLAKE,
chert_condition_A,9d812,1,106,complete,no,,0,,,Absent,4,Subcentripetal,2,1,0,1,10.59,46.86,34.73,8.4,46.1,36.2,8.08,33.51,33.3,35.66,7.58,4.49,2.65,16.94,5.18,4.77,5.18,2.23,72.52401535,Plain,No,Yes,No,Hertzian,CONCAVE,7,TRIANGULAR,PARALLEL,FEATHER,Flat,0-30,No,,,FLAKE,
chert_condition_A,9d812,1,104,complete,no,,0,,,Absent,4,Orthogonal,3,1,0,0,9.41,48.42,41.28,5.93,46.03,39.93,6.51,28.23,30.57,29.26,5.43,6.64,3.34,10.98,5.19,5.45,5.45,2.02,67.20598388,Plain,No,Yes,No,Hertzian,CONCAVE,7,TRIANGULAR,PARALLEL,FEATHER,Flat,0-30,No,,,FLAKE,
chert_condition_A,db727,3,31,complete,no,,20,Distal,,Absent,3,Unidirectional,2,0,0,0,19.9,71.31,36.52,8.26,71.29,37.1,8.3,29.43,34.41,36.76,7.25,8.29,7.08,16.96,4.84,3.02,4.73,1.85,62.64542669,Plain,No,Yes,No,Hertzian,CONCAVE,7,TRIANGULAR,DIVERGENT,FEATHER,Pointed,0,No,blade,laminar,ELONG,
chert_condition_A,9d812,1,57,complete,no,,0,,,Absent,6,Centripetal,2,1,0,2,14.87,53.77,38.79,7.96,50.14,45.46,6.02,38.17,40.4,34.11,4.89,5.61,5.94,9.98,1.26,1.26,1.26,1.75,59.85444454,Linear,No,No,No,Hertzian,CONCAVE,7,TRAPEZOIDAL,PARALLEL,FEATHER,Flat,31-60,No,,,FLAKE,
chert_condition_A,9d812,1,47,complete,no,,0,,,Absent,3,Unidirectional,3,0,0,0,5.19,37.13,34,6.63,27.19,36.35,6.13,36.53,33.88,25.08,6.53,3.23,1.11,33.66,3.55,4.89,4.89,1.7,58.42875996,Other,No,Yes,No,Hertzian,CONCAVE,7,TRAPEZOIDAL,PARALLEL,FEATHER,Flat,0-30,No,,LEVALLOIS,FLAKE,WINGED PLATFORM.  NOTE THAT THIS EXAMPLE IS ILLUSTRATED IN GUIDE BUT MIS-NAMED.
chert_condition_B,db727,3,28,complete,no,,5,ProxRight,,Absent,5,Unidirectional,0,0,0,4,29.5,66.72,44.01,16.97,68.08,44,16.88,13.98,24.58,32.59,12.17,17.43,17.08,3.97,0,0,0,0,0,Crushed,No,Yes,No,Hertzian,CONCAVE,7,TRIANGULAR,DIVERGENT,FEATHER,Flat,0,No,crested blade,indet,ELONG,
chert_condition_B,9d812,1,63,distal,no,platform is broken.,40,left,,Indeterminate,3,Orthogonal,2,1,0,0,6.92,53.58,19.39,10.15,,18.46,9.97,13.99,15.69,19.08,8.97,7.64,7.68,,,,,,0,,,No,No,Bending,CONCAVE,7,RIGHTTRIANGLE,PARALLEL,FEATHER,Pointed,31-60,No,,,FLAKE,"PLATFORM IS BROKEN, MAKING SOME MEASUREMENTS IMPOSSIBLE"
chert_condition_A,8240a,8,59,complete,no,,0,,,Absent,5,Indeterminate,1,2,0,1,7.300000191,58.20999908,26.32999992,8.329999924,56.33000183,24.26000023,8.369999886,19.21999931,21.68000031,14.96,6.710000038,4.460000038,2.869999886,10.84000015,7.139999866,7.2,7.389999866,3.559999943,,Plain,Yes,Yes,No,Hertzian,FLAT,6.909999847,TRAPEZOIDAL,PARALLEL,FEATHER,Flat,0,No,,,ELONG,
chert_condition_A,de9cb,8,60,complete,no,,0,,,Absent,8,Centripetal,3,1,2,2,64.3,84.7,52.59,16.32,76.5,53.87,13.61,46.13,45.97,49.65,14.54,16,10.63,30.37,6.4,7.29,8.7,9.2,132.3758473,Facetted,Yes,Yes,No,Hertzian,CONCAVE,6.84,TRAPEZOIDAL,PARALLEL,FEATHER,Flat,29,No,levallois flake,levallois,FLAKE,
chert_condition_A,d764f,10,31,complete,yes,micro chipping,15,Distal,,Absent,5,UnidirectionalConvergent,2,2,0,0,19.70000076,74.25,36.22999954,8.340000153,71.33000183,36.41999817,8.260000229,25.37000084,29.5,34.37,6.320000172,7.849999905,8,18.30999947,4.71999979,3.67,4.900000095,2.900000095,71.07535736,Dihedral,No,Yes,No,Hertzian,CONCAVE,6.5,TRIANGULAR,DIVERGENT,OVERSHOT,Rounded,15,No,,,ELONG,
chert_condition_B,8240a,8,89,complete,yes,"distal end caliper marks, possilbe on platform lef",0,,,Absent,3,Centripetal,1,1,0,1,5.300000191,40.29000092,28.73999977,6.989999771,36.47000122,29.87999916,7.090000153,26.47999954,26.01000023,14.23,6.559999943,4.079999924,3.539999962,0,9.81000042,8.21,9.970000267,1.899999976,,Plain,No,Yes,No,Hertzian,BULBAR,6.179999828,TRIANGULAR,CONVERGENT,FEATHER,Flat,0,No,poss Levallois point,,CONVFLAKE,
chert_condition_A,8240a,8,103,complete,no,,0,,,Absent,4,Indeterminate,1,1,1,1,5,35.43999863,26.70999908,6.119999886,31.94000053,24,5.599999905,21.79000092,23.67000008,21.66,5.309999943,5.179999828,4.519999981,16.88999939,3.890000105,3.71,5.639999866,2.049999952,,Plain,No,Yes,No,Hertzian,CONCAVE,6.110000134,TRAPEZOIDAL,PARALLEL,FEATHER,Flat,0,No,,,FLAKE,
chert_condition_B,r42o8,5,1,complete,yes,distal,100,,,Complete,0,,0,0,0,0,135.5,92.61,60.68,27.67,88.5,62.73,18.14,57.75,57.95,44.21,26.63,17.35,7.61,,,,,11.54,150.4835495,Cortical,No,Yes,No,Hertzian,Concave,6,Domed,Ovoid,Feather,Irregular,0-30,No,first flake,indeterminate,Flake,
chert_condition_A,r42o8,5,10,complete,no,,100,,,Complete,0,,0,0,0,0,277,110.63,78.33,42.85,98.99,81.42,42.55,57.13,74.8,60.38,24.05,42.68,28.71,24.8,10.82,9.46,10.48,6.96,132.8103589,Cortical,No,Yes,No,Hertzian,,6,Triangular,Amorphous,Feather,Rounded,30-60,No,first flake,indeterminate,Flake,
chert_condition_B,3d396,4,55,complete,yes,extensive breakage along distal,40,Other,distal and central,Absent,5,Multidirectional,0,1,1,0,54.7,77.52,57.53,19.23,71.76,55.78,19.59,39.75,48.97,53.3,13.1,14.32,5.69,22.39,6.99,9.57,11.69,6.5,,Plain,No,Yes,No,Hertzian,Concave,6,Trapezoidal,Divergent,Feather,,,No,none,indeterminate,Flake,DISTPLANFORM and DISTPROFANGLE not taken due to extensive breakage at distal end.
chert_condition_B,r42o8,5,47,complete,no,,10,Left,medial,Absent,4,Unidirectional,1,0,0,0,43.7,80.39,66.99,9.48,77.11,51.21,8.43,40.61,50.04,49.82,10.42,7.53,6.37,17.55,5.44,4.65,5.89,4.07,106.4857784,Plain,No,Yes,No,Hertzian,Bulbar,6,Lenticular,Ovoid,Feather,Flat,0-30,No,indeterminate,indeterminate,Flake,may be a break along the right lateral
chert_condition_B,r42o8,5,66,complete,no,,10,Left,,Absent,10,Orthogonal,1,0,0,0,133.4,94.37,85.56,20.07,79.4,89.12,14.07,67.34,89.15,59.54,18.5,13.75,10,45.49,3.74,3.55,11.61,3.92,104.412114,Plain,No,Yes,No,Hertzian,Concave,6,Trapezoidal,Amorphous,Feather,Rounded,30-60,No,Indeterminate,Indeterminate,Flake,
chert_condition_B,3d396,4,47,complete,yes,very minor edge fracture (<1 mm deep scars) along distal,10,Other,medial left,Absent,7,Subcentripetal,2,1,0,1,43.8,80.3,56.95,9.96,76.48,54.45,10.1,36.48,36.48,49.73,8.58,6.87,4.39,17.78,5.21,5.08,5.63,3.55,,Plain,No,Yes,No,Hertzian,Concave,6,Trapezoidal,Amorphous,Feather,Flat,0-30,No,none,indeterminate,Flake,
chert_condition_A,r42o8,5,60,complete,yes,minor,0,,,Absent,8,Centripetal,1,0,0,0,64.3,85.51,67.23,15.82,78.45,54.51,16.03,49.86,46.82,51.84,15.5,14.41,10.69,32.8,6.83,7.81,9.28,3.44,97.06458917,Facetted,No,Yes,No,Hertzian,Concave,6,Triangular,Amorphous,Feather,Pointed,0-30,No,levallois,levallois,Flake,
chert_condition_A,9d812,1,105,complete,no,,0,,,Absent,6,Bidirectional,4,0,2,0,5.11,38.77,29.57,6.9,35.93,26.44,7.21,18.98,25.41,25.33,7.04,4.42,1.94,13.42,4.07,5.81,5.81,3.2,92.93760143,Dihedral,No,Yes,No,Hertzian,CONCAVE,6,TRIANGULAR,PARALLEL,FEATHER,Flat,0-30,No,,,FLAKE,
chert_condition_A,9d812,1,46,complete,no,,0,,,Absent,4,Unidirectional,4,0,0,0,9.36,63.56,26.9,6.26,63.47,26.74,6.38,26.4,22.25,14.46,6.09,6.04,4.45,5.34,2.43,2.43,2.43,2.91,87.49671716,Plain,No,Yes,No,Hertzian,CONCAVE,6,TRAPEZOIDAL,CONVERGENT,FEATHER,Pointed,0-30,No,,,ELONG,
chert_condition_B,a8acd,11,70,complete,yes,LIGHT EDGE DAMAGE,,,,absent,5,Centripetal,1,3,0,1,45.3,66.49,63.58,14.42,57.21,62.61,18.82,49.45,60.63,29.48,17.33,15.14,8.9,39.8,18.61,17.02,18.61,2.32,,Plain,YES,YES,YES,HERTZIAN,VERY CONCAVE,6,INDET,AMORPH,FEATHER,POINTED,31-60,NO,LEVALLOIS PREFERENTIAL FLAKE WITH CENTRIPETAL PREPARATION,LEVALLOIS,FLAKE,
chert_condition_B,d764f,10,47,complete,yes,minor chipping,8,Other,midleft,Absent,7,Multidirectional,2,0,2,3,43.29999924,78.76999664,55.15000153,10.60999966,77.19999695,54.59999847,10.36999989,40.90000153,49.65999985,50.79,10.07999992,9.850000381,6.28000021,21.12000084,5.349999905,5.12,5.78000021,2.299999952,59.06331967,Plain,No,Yes,No,Hertzian,CONCAVE,6,TRAPEZOIDAL,DIVERGENT,FEATHER,Rounded,10,No,,Levallois,FLAKE,
chert_condition_B,r42o8,5,46,complete,no,,5,Left,medial,Absent,3,Orthogonal,0,0,0,0,16.2,62.35,39.63,9.32,54.85,30.89,8.32,21.86,33.73,29.71,5.63,9.4,6.78,3.81,0.49,0.5,0.86,2.2,71.78533138,Linear,No,No,Yes,Hertzian,Very_concave,6,Triangular,Divergent,Feather,Flat,0-30,No,indeterminate,indeterminate,Flake,
chert_condition_A,9d812,1,90,proximal,no,,0,,,Absent,4,Unidirectional,4,0,0,0,9.88,45.67,38.16,7.81,,38.02,8.86,37.83,35.62,20.97,5.61,3.78,4.05,38.82,6.78,6.65,6.78,2.13,70.03462153,Facetted,No,Yes,No,Hertzian,CONCAVE,6,TRAPEZOIDAL,CONVERGENT,INDET,Pointed,0-30,No,LEVALLOIS POINT,LEVALLOIS,FLAKE,
chert_condition_A,r42o8,5,31,complete,no,,15,Distal,,Absent,5,Unidirectional,2,0,0,0,20,74.73,36.92,10.71,71.75,37.34,11.13,24.76,30.52,36.66,6.65,8.35,7.14,17.83,4.83,3.27,4.85,2.04,67.72738114,Plain,No,Yes,No,Hertzian,Twisted,6,Triangular,Parallel,Feather,Rounded,0-30,No,indeterminate,other,Flake,
chert_condition_B,9d812,1,51,complete,no,,10,left,,Absent,3,Unidirectional,3,0,0,0,8.64,67.37,23.46,6.41,22.55,64.79,6.73,38.32,50.8,59.18,4.58,3.2,1.99,15.62,4.92,4.92,4.92,2.01,66.94409622,Plain,No,Yes,No,Hertzian,FLAT,6,TRAPEZOIDAL,DIVERGENT,FEATHER,Irreg,0-30,No,,,FLAKE,
chert_condition_A,9d812,1,62,complete,no,,3,distal,,Absent,4,Unidirectional,4,0,0,0,11.33,50.28,34.86,8.77,47.63,30.95,8.92,27.36,28.65,29.35,8.3,5.36,2.53,13.02,4.9,5.49,5.78,1.93,64.82034889,Plain,No,Yes,No,Hertzian,CONCAVE,6,TRAPEZOIDAL,PARALLEL,FEATHER,Flat,0-30,No,,,FLAKE,
chert_condition_A,9d812,1,63,complete,no,,0,,,Absent,3,Orthogonal,2,0,0,1,42.35,88.6,57.41,14.31,75.44,54.88,13.75,48.82,56.35,46.49,13.31,9.03,4.42,27.07,6.27,8.69,11.12,1.68,57.85285167,Plain,No,No,No,Hertzian,FLAT,6,TRIANGULAR,DIVERGENT,FEATHER,Flat,0-30,No,,,FLAKE,
chert_condition_B,r42o8,5,55,complete,yes,most of the distal,50,Mesial,distal,Absent,3,Indeterminate,1,0,0,0,54.6,78.75,59.79,18.21,66.68,49.3,10.77,41.13,50.38,55.48,18.37,14.9,5.49,21.58,4.19,8.69,11.64,1.67,57.56369104,Plain,No,Yes,No,Hertzian,Bulbar,6,Trapezoidal,Amorphous,Feather,,0-30,No,indeterminate,indeterminate,Flake,might be some dejete-like flake
chert_condition_B,a8acd,11,47,complete,yes,LIGHT DISTAL EDGE DAMAGE,15,MesialLeft,,absent,5,Orthogonal,2,0,1,2,43.6,78.57,51.05,9.2,77.7,56.93,12.48,39.33,49.61,51.93,9.8,9.76,4.9,17.11,5.87,5.38,5.92,1.59,,Plain,NO,YES,YES,HERTZIAN,BULBAR,6,TRAP,DIV,FEATHER,ROUNDED,0-30,NO,CORE PREPARATION; DEBORDANT FLAKE,LEVALLOIS,FLAKE,
chert_condition_A,9d812,1,103,proximal,no,,0,,,Absent,5,Unidirectional,5,0,0,0,5.03,35.03,26.13,5.74,,23.52,5.63,,,,5.6,5.16,3.54,16.84,3.75,3.75,4.5,1.52,53.13010235,Dihedral,No,Yes,No,Hertzian,CONCAVE,6,TRIANGULAR,PARALLEL,FEATHER,,31-60,No,,,FLAKE,
chert_condition_B,9d812,1,23,complete,no,,100,all,,Absent,0,Other,0,0,0,0,4.17,44.68,18.47,5.23,39.17,19.84,4.8,17.47,17.03,15.44,4.31,5.66,3.21,9,1.53,1.53,2.08,1.28,45.66730836,Crushed,No,No,No,Bending,CONCAVE,6,DOMED,PARALLEL,FEATHER,Pointed,0-30,No,,,FLAKE,
chert_condition_B,9d812,1,89,complete,no,,0,,,Absent,4,Unidirectional,4,0,0,0,5.24,40.7,28.06,7.2,41.63,28.09,7.33,27.99,22.1,13.96,6.65,4.32,2.95,20.2,8.01,8.06,8.06,1.22,43.73274132,Plain,No,Yes,No,Hertzian,CONCAVE,6,TRIANGULAR,CONVERGENT,FEATHER,Pointed,0-30,No,,,CONVFLAKE,
chert_condition_B,0202a,2,46,complete,no,,10,Other,medial left,Indeterminate,3,Orthogonal,2,0,0,1,16.29999924,63.43000031,33.63999939,9.4,63.04999924,33.06000137,7.130000114,20.59000015,33.29000092,27.93,6.71999979,7.889999866,3.660000086,4.139999866,0,0,0,0,0,Indeterminate,Indeterminate,No,Yes,Hertzian,CONCAVE,6,TRIANGULAR,DIVERGENT,FEATHER,Rounded,19,No,,,FLAKE,distal width taken - have ignored touch and just measured as normal flake
chert_condition_B,3d396,4,46,complete,yes,edge fracture to distal and a complex notch formed on left disal lateral,5,Other,medial left,Absent,3,Orthogonal,1,0,0,2,16.2,61.89,33.68,9.53,61.84,33.44,9.48,22.33,29.93,29.1,5.94,7,8.19,3.8,0.47,0.47,0.65,,,Linear,No,Yes,Yes,Hertzian,Concave,6,Triangular,Divergent,Overshot,Flat,0-30,No,none,indeterminate,Flake,refits 47
chert_condition_B,3d396,4,28,left,no,minor edge fracture to laterals,5,Other,central,Absent,7,Multidirectional,1,0,0,0,29.5,69.29,43.86,17.74,67.64,43.83,17.7,,,,,,,,,,,,,Crushed,No,Yes,No,Hertzian,Concave,6,Triangular,Divergent,Overshot,Flat,>60,No,redirection / core management,indeterminate,Flake,
chert_condition_A,9d812,1,36,complete,no,,90,other,in all portions but not total coverage,Absent,0,Other,0,0,0,0,4.18,39.26,28.05,8.69,29.54,30.62,8.99,20.05,25.63,29.32,7.89,4.45,2.7,,,,,,0,,No,Yes,Yes,Hertzian,CONCAVE,6,LENTICULAR,DIVERGENT,FEATHER,Flat,>60,No,,,FLAKE,PLATFORM SHATTERED; MEASUREMENTS IMPOSSIBLE
chert_condition_B,r42o8,5,28,complete,yes,minor,,,,Absent,7,Unidirectional,0,0,0,3,29.4,69.26,45.81,19.78,67.8,29.78,17.55,15.48,27.79,34.48,8.77,17.58,17.28,,,,,,0,Crushed,No,Yes,No,Hertzian,Concave,6,Righttriangle,Divergent,Overshot,Flat,30-60,No,Core rejuvenation,laminar,Flake,
chert_condition_B,8240a,8,60,complete,no,,15,Distal,,Absent,3,Centripetal,2,1,0,0,0,50.16999817,21.59000015,4.269999981,50.33000183,21.36000061,4.099999905,14.72999954,18.52000046,15.45,3.24000001,3.920000076,3.190000057,6.78000021,2.470000029,2.57,3.309999943,0,,Punctiform,Yes,Yes,No,Hertzian,CONCAVE,5.980000019,TRIANGULAR,PARALLEL,INDET,Irreg,0,No,,,ELONG,
chert_condition_B,8240a,8,23,complete,no,,100,All,,Indeterminate,0,,0,0,0,0,0,44.49000168,19.92000008,5.820000172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Indeterminate,Indeterminate,Indeterminate,Indet,Hertzian,FLAT,5.96999979,INDET,AMORPH,HINGE,Pointed,0,No,decortifying flake,,FLAKE,technological attributes not taken as no platform present
chert_condition_A,8240a,8,92,complete,no,,0,,,Absent,2,Indeterminate,0,1,0,1,4.400000095,37.90000153,32.13000107,5.900000095,35.43999863,23.57999992,6.510000229,19.70000076,22.17000008,21.72,4.960000038,3.5,3.180000067,14.36999989,5.110000134,4.7,5.050000191,3.00999999,,Plain,No,Yes,No,Hertzian,CONCAVE,5.739999771,DOMED,PARALLEL,FEATHER,Flat,0,No,,,ELONG,
chert_condition_B,8240a,8,NONR3495,distal,no,,45,Left,,Indeterminate,1,Indeterminate,0,0,0,1,3.900000095,30.75,22.54999924,4.809999943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Indeterminate,Indeterminate,Indeterminate,Indet,Hertzian,FLAT,5.710000038,TRIANGULAR,OVOID,INDET,Flat,0,No,,,FLAKE,
chert_condition_A,de9cb,8,8,complete,no,,75,All,,Indeterminate,1,Unidirectional,1,0,0,0,31.7,59.96,41.64,18.67,58.9,43.06,19.51,29.71,42.15,43.58,18.7,17.12,9.46,0,0,0,0,0,0,Indeterminate,Indeterminate,Indeterminate,Indet,Hertzian,FLAT,5.51,TRIANGULAR,DIVERGENT,FEATHER,Rounded,30,No,indet,indet,FLAKE,
chert_condition_A,8240a,8,95,fragment,no,,0,,,Absent,1,Indeterminate,1,0,0,0,3.900000095,35.08000183,27.18000031,4.860000134,0,0,0,0,0,0,0,0,0,0,0,0,4.510000229,0,,Crushed,No,No,No,Hertzian,CONCAVE,5.449999809,INDET,NA,FEATHER,INDET,0,No,,,FLAKE,
chert_condition_B,8240a,8,30,shatter,yes,,100,All,,Indeterminate,0,,0,0,0,0,0,24.35000038,16.71999931,4.949999809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Indeterminate,Indeterminate,Indeterminate,Indet,Hertzian,FLAT,5.21999979,TRIANGULAR,AMORPH,INDET,Flat,0,No,,,FLAKE,"mostly cortex/rind, distal plan form should be indet"
chert_condition_B,8240a,8,34,medial,no,,0,,,Indeterminate,2,Indeterminate,0,1,0,1,1.700000048,30.02000046,14.02999973,5.119999886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Indeterminate,Indeterminate,Indeterminate,Indet,Hertzian,FLAT,5.130000114,TRIANGULAR,PARALLEL,INDET,Flat,0,No,,,FLAKE,"dist plan form should be indet (no option), no platform, this is a fragment and cannot be technologically oriented"
chert_condition_B,a8acd,11,55,complete,yes,HEAVY DISTAL EDGE DAMAGE,50,Mesial,,absent,5,Indeterminate,3,1,0,1,54.3,77.15,57.99,15.51,72.26,55.95,19.33,42.22,49.9,55.71,19.45,14.02,8.65,22.46,2.99,9.31,11.88,5.15,,Plain,YES,YES,YES,HERTZIAN,BULBAR,5,INDET,DIV,FEATHER,IRR,0-30,NO,CORE PREPARATION FLAKE; CORTICAL FLAKE,INDET,FLAKE,VERY LIKELY FROM THE LEVALLOIS REDUCTION SYSTEM
chert_condition_A,r42o8,5,23,complete,no,,60,Other,right and distal,Absent,8,Unidirectional,2,0,0,0,27.3,61.79,53.08,10.33,58.52,46.91,10.5,37.38,47.07,43.2,9.95,9.36,7.13,10.18,5.11,4.36,5.38,5.14,118.7964906,Plain,No,Yes,Yes,Hertzian,Concave,5,Lenticular,Ovoid,Feather,Rounded,0-30,No,indeterminate,indeterminate,Flake,multiple small flake scars larger than 5mm
chert_condition_A,0202a,2,23,proximal,yes,poental damage to distal - fine frags in bag,50,Right,,Absent,4,Unidirectional,4,0,0,0,27.39999962,61.61000061,47.20000076,9.54,0,0,0,0,0,0,0,0,0,16.47999954,0,0,0,4.929999828,116.6813027,Plain,,Yes,No,Hertzian,CONCAVE,5,DOMED,OVOID,HINGE,,0,No,,,FLAKE,"platform slightly broken, remove flaketerm"
chert_condition_B,r42o8,5,54,complete,no,,0,,,Complete,6,Indeterminate,2,0,0,0,74.9,93.73,66.09,18.48,65.12,47.23,13.68,44.98,46.28,42.35,16.37,14.78,14.15,38.36,10.31,9.76,14.79,3.91,104.2703252,Dihedral,No,Yes,No,Hertzian,Concave,5,Trapezoidal,Parallel,Feather,Irregular,60-90,No,indeterminate,indeterminate,Flake,
chert_condition_A,a8acd,11,23,complete,yes,HEAVY DISTAL EDGE DAMAGE,50,Right,,absent,5,Unidirectional,5,0,0,0,27.3,61.7,45.11,9.34,58.54,47.15,9.89,36.01,45.96,42.99,9.1,8.94,8.02,,5.1,,5.1,3.71,,Crushed,NO,YES,YES,HERTZIAN,VERY CONCAVE,5,INDET,OVAL,FEATHER,ROUNDED,0-30,NO,CORE PREPARATION FLAKE; CORTICAL FLAKE,indet,FLAKE,
chert_condition_A,3d396,4,60,complete,yes,minor edge fracture,0,,,Absent,9,centripetal,1,2,2,4,64.4,85.52,58.61,15.62,84.11,53.39,15.53,49.16,47.02,48.68,12.93,12.17,10.7,32.47,6.04,6.62,9.16,3.46,,Facetted,No,Yes,No,Hertzian,Bulbar,5,Trapezoidal,Amorphous,Feather,Irregular,30-60,No,none,Levallois,Flake,
chert_condition_A,db727,3,60,complete,no,,0,,,Absent,7,Centripetal,3,1,2,1,64.3,84.08,53.05,13.64,78.14,53.1,15.74,47.82,46.51,52.33,15.44,14.03,13.46,31.84,5.27,5.95,8.67,3.44,97.06458917,Facetted,No,Yes,No,Hertzian,CONCAVE,5,DOMED,CONVERGENT,FEATHER,Flat,31-60,No,Levallois Flake,Levallois,FLAKE,
chert_condition_B,0202a,2,50,complete,no,,25,Distal,,Absent,2,Orthogonal,0,0,1,1,27.70000076,61.08000183,52.72999954,12.21,51.56999969,49.61999893,11.59000015,24.53000069,53.56000137,36.79,11.68999958,8.659999847,7.28000021,12.84000015,4.909999847,4.91,4.909999847,3.329999924,95.21328315,Dihedral,No,Yes,No,Hertzian,BULBAR,5,TRAPEZOIDAL,DIAMOND,INDET,Irreg,0,No,,,FLAKE,2 extra scars patinated
chert_condition_B,db727,3,47,complete,no,,10,left,,Absent,5,Subcentripetal,2,0,0,1,43.7,77.26,54.38,9.73,77.12,53.96,9.73,41.2,49.55,49.88,9.6,8.65,5.18,19.26,5.65,5.65,5.65,3.32,95.04165582,Plain,No,Yes,No,Hertzian,CONCAVE,5,TRAPEZOIDAL,DIVERGENT,FEATHER,Flat,0,No,indet,indet,ELONG,
chert_condition_B,9d812,1,62,complete,no,,0,,,Absent,5,Centripetal,2,,2,1,24.6,68.52,47.11,8.91,53.66,58.62,9.07,55.91,32.04,24.47,8,6.12,5.48,11.35,2.29,1.11,2.29,3.13,91.67139529,Plain,No,Yes,No,Hertzian,CONCAVE,5,TRIANGULAR,DIVERGENT,FEATHER,Flat,31-60,No,,,FLAKE,
chert_condition_A,9d812,1,59,complete,no,,0,,,Absent,3,Unidirectional,3,0,0,0,7.33,58.49,24.3,6.16,56.41,24.37,7.54,23.12,21.12,16.45,6.15,4.13,2.67,11.25,7.14,7.14,7.53,3.09,90.93465757,Plain,No,Yes,No,Hertzian,FLAT,5,TRIANGULAR,CONVERGENT,FEATHER,Flat,0-30,No,,,FLAKE,
chert_condition_B,9d812,1,60,complete,no,,30,distal,,Absent,3,Unidirectional,3,0,0,0,4.2,49.9,21.46,4.7,48.01,20.3,4.76,14.76,19.28,20.03,3.44,4.5,3.14,6.69,2.4,2.53,2.53,2.81,85.49701008,Plain,No,No,No,Bending,CONCAVE,5,TRIANGULAR,PARALLEL,FEATHER,Pointed,0-30,No,,,FLAKE,
chert_condition_B,3d396,4,50,complete,yes,minor edge fracture,50,Other,Left and Distal,Absent,2,Unidirectional,0,0,0,2,27.3,56.97,52.09,12.1,51.85,52.05,12.6,30.17,49.68,34.38,10.47,8.93,8.04,13.46,5.24,5.24,5.24,2.8,,Dihedral,No,Yes,No,Hertzian,Concave,5,Trapezoidal,Amorphous,Feather,Irregular,0-30,No,none,indeterminate,Flake,
chert_condition_B,r42o8,5,50,complete,yes,right distal,35,Distal,,Absent,2,Indeterminate,0,0,0,0,27.2,57.11,52.57,12.75,49.74,52.94,9.21,30.19,50.75,32.63,11.87,9.98,11.43,12.54,4.86,4.48,6.62,2.74,84.05767348,Dihedral,No,Yes,Yes,Hertzian,Concave,5,Trapezoidal,Diamond,Feather,Irregular,0-30,No,indeterminate,indeterminate,Flake,
chert_condition_A,0202a,2,60,proximal,no,,0,,,Absent,10,Multidirectional,2,3,0,1,64.30000305,85.12999725,61.93999863,15.68,0,52.43999863,13.07999992,0,0,0,0,0,0,31.96999931,6.230000019,6.64,8.630000114,2.720000029,83.64034037,Facetted,No,Yes,No,Hertzian,BULBAR,5,TRAPEZOIDAL,DIAMOND,FEATHER,Irreg,0,,,potential Lev,FLAKE,remove distal measures
chert_condition_A,a8acd,11,7,complete,yes,PIECE BROKE OFF FROM DISTAL PART AND TAPED BACK,55,Left,,absent,3,Orthogonal,1,0,0,2,118.3,82.68,60.82,26.18,76.03,61.44,28.31,52.42,60.39,47.87,28.86,26.83,17.52,40.37,24.77,20.29,24.77,2.69,,Plain,NO,YES,NO,HERTZIAN,BULBAR,5,TRI,OVAL,FEATHER,ROUNDED,31-60,NO,CORE PREPARATION FLAKE; CORTICAL FLAKE,indet,FLAKE,
