assemblage_code,analyst_id,analysis_order,flake_id,completeness,damage,damage_comment,dorsal_cortex,Dorsal_Cortex_Location,dorsal_cortex_location_other,platform_cortex,dorsal_scar_count,directionality,Proximal_Scars,Left_Scars,Distal_Scars,Right_Scars,Mass,MaximumDimension,MaximumWidth,MaximumThickness,TechLength,TechMaxWidth,TechMaxThickness,TECHWIDTHPROX,TECHWIDTHMES,TECHWIDTHDIST,TECHTHICKPROX,TECHTHICKMES,TECHTHICKDIST,PLATFWIDTH,PLATFTHICKIMPACT,PLATFTHICKMID,PLATFTHICKMAX,EDGEPLATF,EDGEPLATF_DEG,PLATFMORPH,PLATFLIPP,BULB,SHATTBULB,INITIATION,VENTR_PLANE_FORM,ANGLE_HEIGHT,SECTION,LATEDGETYPE,FLAKETERM,DISTPLANFORM,DISTPROFANGLE,KOMBEWA,FLK_TYPE,RED_SYST,FLK_FORM,REMARK
chert_condition_A,9d812,1,10,complete,no,,100,all,,Complete,0,Other,0,0,0,0,276.7,109.29,78.18,44.35,102.77,80.53,44.02,54.95,76.59,59,27.88,42.34,28.99,22.23,8.85,8.85,8.85,5.19,119.2814206,Cortical,No,Yes,Yes,Hertzian,BULBAR,42,TRIANGULAR,DIVERGENT,FEATHER,Pointed,31-60,No,,,FLAKE,
chert_condition_A,8240a,8,10,complete,no,,95,All,,Complete,0,,0,0,0,0,0,108.9700012,78.73000336,42.79999924,104.0599976,77.80999756,42.41999817,55.47000122,73.51999664,51.14,25.29999924,42.34000015,24.95999908,22.86000061,10.35999966,9.88,10.61999989,0,,Cortical,No,Yes,Yes,Hertzian,FLAT,42,TRIANGULAR,DIVERGENT,FEATHER,Irreg,0,No,,,FLAKE,
chert_condition_B,9d812,1,39,complete,no,,10,other,"everywhere except proxleft, left, medial",Absent,3,Orthogonal,1,1,0,1,84.61,113.1,52.42,27.02,109.2,51.34,27.02,31.86,47.31,37.03,23.52,19.7,10.4,23.92,14.5,15.02,15.02,,0,Plain,No,Yes,No,Hertzian,CONCAVE,29,TRIANGULAR,DIAMOND,FEATHER,Pointed,0-30,No,CORE MANAGEMENT/PLATFORM REJEVENATION FLAKE; ALMOST A LAME A CRETE.  ,,ELONG,THE CREST MAKES TAKING EPA AND OTHER MEASUREMENTS IMPOSSIBLE.
chert_condition_A,9d812,1,9,complete,no,,95,other,in all portions but not total coverage,Absent,0,Other,0,0,0,0,120.73,102.79,59.21,26.47,85.54,66.28,26.81,54.84,64.24,58.17,28.25,22.19,9.7,31.06,9.46,13.57,13.57,11.46,150.2865841,Plain,No,Yes,No,Hertzian,BULBAR,27,RIGHTTRIANGLE,DIVERGENT,FEATHER,Pointed,0-30,No,,,FLAKE,
chert_condition_A,9d812,1,7,complete,no,,50,other,everywhere but proxright and right,Absent,3,Unidirectional,3,0,0,0,118.42,82.33,60.82,28.61,81.37,60.62,29.43,57.27,60.83,50.87,27.79,22.01,12.01,40.27,25.37,16.43,25.37,3.36,95.72481045,Plain,No,Yes,No,Hertzian,BULBAR,26,TRIANGULAR,OVOID,FEATHER,Rounded,31-60,No,,,FLAKE,
chert_condition_B,9d812,1,29,complete,no,,55,,"everywhere but proxright, distright",Absent,2,Unidirectional,2,0,0,0,120.11,94.6,94.3,23.08,93.75,83.24,22.29,80.96,76.94,57.13,24.07,17.83,9.24,58.26,12.26,4.52,12.26,3.33,95.21328445,Plain,No,Yes,No,Hertzian,BULBAR,26,TRIANGULAR,DIAMOND,FEATHER,Pointed,0-30,No,,,FLAKE,
chert_condition_A,8240a,8,7,complete,no,,50,Left,,Absent,3,Indeterminate,1,0,1,1,118.3000031,83.77999878,61.27999878,28.43000031,75.62999725,61.36999893,29.23999977,48.68999863,60.29000092,46.6,27.54000092,24.44000053,14.52000046,40.22000122,23.97999954,20.12,24.87000084,0,,Plain,Yes,Yes,No,Hertzian,CONCAVE,25.89999962,TRIANGULAR,PARALLEL,FEATHER,Irreg,0,No,,,FLAKE,
chert_condition_B,9d812,1,28,complete,no,,0,,,Absent,6,Orthogonal,3,0,1,2,29.42,69.88,43.96,16.95,69.69,43.87,19.24,,28.16,35.26,8.13,12.12,16.7,,,,,,0,Other,No,Yes,Yes,Hertzian,CONCAVE,22,RIGHTTRIANGLE,DIVERGENT,FEATHER,Flat,>60,No,CORE MANAGEMENT/PLATFORM REJUVENATON FLAKE,,FLAKE,BURINATION AT PLATFORM PREVENTS TAKING SOME PLATFORM MEASUREMENTS
chert_condition_B,9d812,1,1,complete,yes,could be considerd a proximal flake; some cortex at distal end crumbled off.,100,all,,Complete,0,Other,0,0,0,0,135.48,92.54,60,26.28,90.42,61.86,26.13,55.94,59.79,48.41,25.98,17.84,7.42,40.39,20.16,20.56,20.98,4.95,116.8883825,Cortical,No,Yes,No,Hertzian,BULBAR,21,DOMED,OVOID,FEATHER,Flat,0-30,No,ENTAME (FIRST FLAKE),,FLAKE,"COULD BE CONSIDERED PROXIMAL FLAKE, SOME OF CORTEX AT DISTAL END CRUMBLED OFF."
chert_condition_B,0202a,2,66,complete,no,,5,Left,,Absent,9,Orthogonal,7,2,0,0,,95.58000183,88.13999939,18.1,78.58999634,86.91999817,14.85999966,60.66999817,89.19999695,83.53,14.11999989,14.27000046,9.239999771,47.13000107,10.78999996,4.16,11.93999958,0,0,Plain,No,Yes,No,Hertzian,BULBAR,21,TRAPEZOIDAL,AMORPH,FEATHER,Rounded,33,No,Indt,Indet,FLAKE,
