,,,,,,,,,,
original flake id,new flake id,assemblage_code,variable,cv,mean,sd,min,max,median,range
55,69,chert_condition_B,techthickmes,0.06,13.96,0.82,12.28,14.95,14.02,2.67
55,69,chert_condition_B,techthickdist,0.27,5.95,1.62,2.52,8.65,5.89,6.13
55,69,chert_condition_B,platfwidth,0.04,21.73,0.96,19.32,22.57,21.91,3.25
55,69,chert_condition_B,platfthickimpact,0.52,6.92,3.57,2.99,12.65,5.74,9.66
55,69,chert_condition_B,platfthickmid,0.16,8.99,1.4,7.72,12.7,8.69,4.98
55,69,chert_condition_B,platfthickmax,0.14,10.87,1.51,7.71,13.11,10.73,5.4
70,70,chert_condition_B,mass,0,45.48,0.1,45.3,45.6,45.5,0.3
70,70,chert_condition_B,maximumdimension,0.01,66.6,0.48,65.71,67.51,66.62,1.8
70,70,chert_condition_B,maximumwidth,0.07,61.28,4.1,53.41,65.15,63.58,11.74
70,70,chert_condition_B,maximumthickness,0.08,16.39,1.31,14.42,18.19,16.13,3.77
70,70,chert_condition_B,techlength,0.05,58.19,2.91,56.14,65.05,57.1,8.91
70,70,chert_condition_B,techmaxwidth,0.03,62.62,2.09,58.3,65.24,62.98,6.94
70,70,chert_condition_B,techmaxthickness,0.16,15.73,2.55,10.62,18.82,15.9,8.2
70,70,chert_condition_B,techwidthprox,0.05,49.66,2.32,45.54,53.68,49.45,8.14
70,70,chert_condition_B,techwidthmes,0.07,57.56,4.1,49.51,62.28,58.87,12.77
70,70,chert_condition_B,techwidthdist,0.2,30.95,6.14,18.89,38.53,31.19,19.64
70,70,chert_condition_B,techthickprox,0.11,15.98,1.78,13.5,18.66,16.41,5.16
70,70,chert_condition_B,techthickmes,0.11,12.32,1.39,11,15.14,12.04,4.14
70,70,chert_condition_B,techthickdist,0.07,8.3,0.6,7.41,9.07,8.42,1.66
70,70,chert_condition_B,platfwidth,0.02,39.3,0.69,37.89,40.04,39.51,2.15
70,70,chert_condition_B,platfthickimpact,0.03,18.02,0.46,17.06,18.61,18.2,1.55
70,70,chert_condition_B,platfthickmid,0.04,17.14,0.72,15.89,18.22,17,2.33
70,70,chert_condition_B,platfthickmax,0.02,18.14,0.45,17.2,18.64,18.18,1.44
38,71,chert_condition_B,dorsal_cortex,0.04,96.09,4.18,85,100,97,15
38,71,chert_condition_B,maximumdimension,0.01,105.89,0.59,104.48,106.52,106.05,2.04
38,71,chert_condition_B,maximumwidth,0.04,59.17,2.44,52.79,61.12,60.26,8.33
38,71,chert_condition_B,maximumthickness,0.05,16.29,0.76,14.8,17.92,16.13,3.12
38,71,chert_condition_B,techlength,0.06,54.78,3.19,51.1,60.34,53.55,9.24
38,71,chert_condition_B,techmaxwidth,0.07,99.59,6.6,82,104.96,101.13,22.96
38,71,chert_condition_B,techmaxthickness,0.08,15.74,1.25,12.83,17.23,16.09,4.4
38,71,chert_condition_B,techwidthprox,0.08,66.01,5.51,53.62,71.55,66.49,17.93
38,71,chert_condition_B,techwidthmes,0.13,88.6,11.33,72.33,105.79,84.13,33.46
38,71,chert_condition_B,techwidthdist,0.23,77.36,17.58,54.51,98.84,80.62,44.33
38,71,chert_condition_B,techthickprox,0.04,15.62,0.7,14.5,16.64,15.6,2.14
38,71,chert_condition_B,techthickmes,0.03,14.94,0.51,14.17,15.52,15.07,1.35
38,71,chert_condition_B,techthickdist,0.16,10.9,1.73,8.4,14.45,10.36,6.05
38,71,chert_condition_B,platfwidth,0.02,41.56,0.78,39.74,42.8,41.73,3.06
38,71,chert_condition_B,platfthickimpact,0.07,11.23,0.8,10.04,12.49,11.14,2.45
38,71,chert_condition_B,platfthickmid,0.03,11.38,0.38,10.68,12.04,11.43,1.36
38,71,chert_condition_B,platfthickmax,0.09,12.32,1.14,10.95,14.8,12.15,3.85
66,62,chert_condition_B,mass,0,133.38,0.16,133,133.5,133.4,0.5
92,72,chert_condition_B,mass,0,27.33,0.13,27,27.4,27.4,0.4
92,72,chert_condition_B,maximumdimension,0.02,54.65,1.01,52.87,55.5,55,2.63
92,72,chert_condition_B,maximumwidth,0.07,45.39,2.97,41.8,48.69,43.67,6.89
