"","assemblage_code","analyst_id","analysis_order","flake_id","completeness","damage","damage_comment","dorsal_cortex","dorsal_cortex_location","dorsal_cortex_location_other","platform_cortex","dorsal_scar_count","directionality","proximal_scars","left_scars","distal_scars","right_scars","mass","maximumdimension","maximumwidth","maximumthickness","techlength","techmaxwidth","techmaxthickness","techwidthprox","techwidthmes","techwidthdist","techthickprox","techthickmes","techthickdist","platfwidth","platfthickimpact","platfthickmid","platfthickmax","edgeplatf","edgeplatf_deg","platfmorph","platflipp","bulb","shattbulb","initiation","ventr_plane_form","angle_height","section","latedgetype","flaketerm","distplanform","distprofangle","kombewa","flk_type","red_syst","flk_form","remark","new_flake_id"
"501","chert_condition_A","d764f",10,"95","left","yes","minor chipping",0,NA,NA,"Absent",3,"Orthogonal",0,0,0,0,3.799999952,35.65999985,27.29000092,5.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"yes",NA,NA,"Hertzian",NA,0,"Triangular",NA,"Feather",NA,"0","No",NA,NA,"Flake","split flake (siret)",47
"502","chert_condition_A","d764f",10,"57","distal","no",NA,0,NA,NA,NA,8,"Multidirectional",4,3,0,1,14.60000038,53.77999878,39.02000046,9.130000114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Plain",NA,"yes","No","Hertzian","Bulbar",0,"Trapezoidal","Parallel","Feather","Flat","40","No",NA,NA,"Flake",NA,34
"503","chert_condition_A","d764f",10,"26","distal","no",NA,80,"Other","Everywhere but dist",NA,1,"Other",0,0,1,0,29.5,54.08000183,36.06000137,17.03000069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Cortical",NA,"no","Indeterminate","Hertzian","Flat",0,"Domed",NA,"Hinge","Flat","65","No",NA,NA,"Flake",NA,10
"504","chert_condition_A","d764f",10,"14","medial","yes","breaks",22,"Right",NA,NA,2,"Indeterminate",1,0,0,0,2.599999905,25.55999947,21.87000084,4.769999981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Facetted",NA,NA,"No","Hertzian","Concave",0,"Triangular","Parallel","Overshot",NA,"0","No",NA,NA,"Flake","19 or 14?",50
"505","chert_condition_A","db727",3,"200","distal","no",NA,0,NA,NA,NA,2,"Indeterminate",0,0,0,0,3.2,42.24,27.36,4.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Plain",NA,NA,"Indeterminate","Hertzian","Concave",0,"Triangular",NA,"Crushed","Pointed","0","No","indet",NA,"Flake",NA,48
"506","chert_condition_A","db727",3,"99","proximal","no",NA,0,NA,NA,"Absent",3,"Subcentripetal",1,1,1,0,8.7,33.59,31.33,9.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.38,4.03,4.03,4.26,NA,0,"Plain","no","yes","No","Hertzian","Concave",0,NA,"Divergent",NA,NA,"0","No","indet",NA,"Flake",NA,26
"507","chert_condition_A","db727",3,"95","proximal","no",NA,0,NA,NA,"Absent",1,"Indeterminate",1,0,0,0,3.8,34.13,24.07,4.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.11,NA,1.35,2.55,NA,0,"Crushed","no","yes","Yes","Wedging","Flat",0,NA,"Amorphous","Feather",NA,"0","No","indet",NA,"Flake",NA,47
"508","chert_condition_A","db727",3,"63","distal","no",NA,0,NA,NA,"Absent",3,"Subcentripetal",2,1,0,0,42.3,85.68,56.96,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Crushed",NA,"no","No","Hertzian","Concave",0,NA,"Ovoid","Feather","Flat","31-60","No","indet",NA,"Flake",NA,18
"509","chert_condition_A","db727",3,"26","proximal","no",NA,80,"Mesial",NA,"Complete",1,"Unidirectional",0,0,0,1,29.7,50.53,32.62,17.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.79,14.62,14.62,14.61,NA,0,"Cortical","no","yes","No","Hertzian","Concave",0,NA,"Parallel","Feather",NA,"31-60","No","indet",NA,"Flake",NA,10
"510","chert_condition_A","db727",3,"21","proximal","no",NA,20,"Right",NA,"Absent",1,"Unidirectional",0,1,0,0,7.6,39.53,31.03,6.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.75,4.85,5.15,6.65,NA,0,"Facetted","no","no","Yes","Wedging","Concave",0,"Triangular","Parallel","Feather",NA,"0","No","indet",NA,"Flake",NA,42
"511","chert_condition_A","db727",3,"14","medial","no",NA,25,"Left",NA,NA,1,"Indeterminate",0,0,0,0,2.8,25.73,21.72,4.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Facetted",NA,NA,"Indeterminate","Hertzian","Concave",0,"Triangular","Parallel","Feather",NA,"31","No","no",NA,"Blade",NA,50
"512","chert_condition_A","db727",3,"9","complete","no",NA,100,"All",NA,"Absent",0,NA,0,0,0,0,120.7,101.31,59.09,26.84,80.32,67.1,27.06,51.25,60.41,59.01,27.17,19.59,8.87,27.45,8.94,12.92,12.69,NA,0,"Facetted","yes","yes","No","Hertzian","Very concave",0,"Triangular","Convergent","Feather","Rounded","15","No","Ind",NA,"Flake",NA,1
"513","chert_condition_A","de9cb",8,"200","distal","yes","0.6 g piece broken off from proximal end",0,NA,NA,NA,0,"Unidirectional",0,0,0,0,3.2,38.06,20.56,3.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"Indeterminate","Hertzian",NA,0,NA,NA,"Feather","Flat","31","No","indet#",NA,"Flake",NA,48
"514","chert_condition_A","de9cb",8,"95","Indeterminate","no",NA,0,NA,NA,NA,0,"Indeterminate",0,0,0,0,3.8,33.71,23.53,4.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"Indeterminate","Hertzian",NA,0,NA,NA,NA,NA,"0","No","indet",NA,"Flake",NA,47
"515","chert_condition_A","de9cb",8,"36","Indeterminate","no",NA,78,"All",NA,"Absent",2,"Unidirectional",2,0,0,0,4.2,36.92,21.79,10.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"Indeterminate","Hertzian",NA,0,"Triangular","Parallel",NA,NA,"0","No","indet",NA,"Flake",NA,27
"516","chert_condition_A","de9cb",8,"26","distal","no",NA,75,"Other","indet",NA,1,"Indeterminate",0,0,1,0,29.4,53.33,33.37,17.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"Indeterminate","Hertzian",NA,0,NA,NA,"Feather","Flat","49","No","nidet",NA,"Flake",NA,10
"517","chert_condition_A","de9cb",8,"14","Indeterminate","no",NA,31,"Other","indet",NA,1,"Indeterminate",0,0,0,0,2.7,28.68,29.77,7.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"Indeterminate","Hertzian",NA,0,"Triangular","Parallel",NA,NA,"0","No","indet",NA,"Flake",NA,50
"518","chert_condition_A","3d396",4,"46","complete","no",NA,0,NA,NA,"Absent",4,"Unidirectional",4,0,0,0,9.4,63.56,26.47,6.41,60.43,27.58,6.41,23.91,25.98,19.69,5.64,6.1,4.39,5.2,2.13,2.13,2.13,NA,NA,"Linear","no","yes","No","Hertzian","Flat",0,"Trapezoidal","Convergent","Feather","Pointed","0-30","No","none",NA,"Convflake","SECTION would be triangular if taken 6 mm closer to the distal",40
"519","chert_condition_A","a8acd",11,"63","medial","yes","LIGHT EDGE DAMAGE",NA,NA,NA,NA,5,"Multidirectional",1,1,0,3,42.2,87.86,57.13,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flat",0,"Lenticular","Ovoid","Feather","Rounded","0-30","No","MULTIDIRECTIONAL FLAKE","Levallois","Flake",NA,18
"520","chert_condition_A","3d396",4,"7","complete","yes","minor edge fracture to laterals",60,"Left",NA,"Absent",3,"Orthogonal",1,0,0,2,118.7,83.63,60.55,28.85,73.95,60.56,28.85,53.59,60.05,49.25,27.16,20.41,11.58,41.94,19.58,16.79,21.75,3.79,NA,"Other","no","yes","No","Hertzian","Bulbar",NA,"Domed","Ovoid","Feather","Irregular","30-60","No","none",NA,"Flake",NA,4
"521","chert_condition_A","3d396",4,"21","proximal","yes","minor edge fracture",25,"Right",NA,"Absent",NA,NA,NA,NA,NA,NA,7.6,39.89,32.14,5.71,33.66,30.81,5.84,NA,NA,NA,NA,NA,NA,18.68,5.12,5.38,6.46,3.53,NA,"Facetted","no","no","Yes","Hertzian",NA,NA,NA,NA,NA,NA,NA,"Indeterminate",NA,NA,NA,NA,42
"522","chert_condition_A","9d812",1,"74","proximal","no",NA,0,NA,NA,"Absent",NA,NA,NA,NA,NA,NA,19.14,61.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.26,6,4.46,8.94,3.24,93.64817966,"ChapeauDeGendarme","no","yes","No","Hertzian",NA,NA,NA,NA,NA,NA,NA,"Indeterminate","LEVALLOIS POINT","Levallois",NA,NA,2
"523","chert_condition_A","9d812",1,"21","proximal","no",NA,15,"other","proximal and medial",NA,NA,NA,NA,NA,NA,NA,7.65,39.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.85,4.31,4.31,8.21,3.18,92.57879581,"Dihedral","no","yes","Yes","Hertzian",NA,NA,NA,NA,NA,NA,NA,"Indeterminate",NA,NA,NA,NA,42
"524","chert_condition_A","3d396",4,"42","complete","yes","minor edge fracture",10,"Other","RightMedial","Absent",6,"Subcentripetal",3,1,2,0,43.8,67.58,63.74,10.64,64.68,63.56,12.96,42.9,63.95,49.16,10.2,8.12,9.49,19,7.11,8.15,8.75,2.85,NA,"Facetted","no","yes","No","Hertzian","Bulbar",NA,"Trapezoidal","Amorphous","Feather","Rounded",">60","No","First flake",NA,"Flake",NA,20
