assemblage_code,analyst_id,flake_id,completeness,damage,damage_comment,dorsal_cortex,Dorsal_Cortex_Location,dorsal_cortex_location_other,platform_cortex,dorsal_scar_count,directionality,Proximal_Scars,Left_Scars,Distal_Scars,Right_Scars,Mass,MaximumDimension,MaximumWidth,MaximumThickness,TechLength,TechMaxWidth,TechMaxThickness,TECHWIDTHPROX,TECHWIDTHMES,TECHWIDTHDIST,TECHTHICKPROX,TECHTHICKMES,TECHTHICKDIST,PLATFWIDTH,PLATFTHICKIMPACT,PLATFTHICKMID,PLATFTHICKMAX,EDGEPLATF,EDGEPLATF_DEG,PLATFMORPH,PLATFLIPP,BULB,SHATTBULB,INITIATION,VENTR_PLANE_FORM,ANGLE_HEIGHT,SECTION,LATEDGETYPE,FLAKETERM,DISTPLANFORM,DISTPROFANGLE,KOMBEWA,FLK_TYPE,RED_SYST,FLK_FORM,REMARK
chert_condition_A,r42o8,53,complete,no,,0,,,Absent,4,Indeterminate,0,0,0,0,16.9,66.58,41.13,12.5,53.59,33.84,6.68,29.11,31.86,23.69,12.42,6.48,7.44,18.71,10.37,6.82,10.54,2.91,87.49671716,Plain,No,Yes,No,Hertzian,Bulbar,4,Triangular,Parallel,Feather,Pointed,0-30,No,indeterminate,other,Flake,
chert_condition_A,r42o8,56,complete,no,,0,,,Absent,6,Centripetal,1,0,0,0,9.4,47.95,29.33,7.75,46.46,24.85,5.41,27.96,24.82,25.01,7.94,5.51,5.32,10.7,2.89,2.45,2.97,3.84,103.2650292,Plain,No,Yes,No,Wedging,Concave,3,Trapezoidal,Parallel,Feather,Rounded,30-60,No,indeterminate,other,Flake,
chert_condition_A,r42o8,105,complete,no,,0,,,Absent,6,Indeterminate,1,0,0,0,5.1,38,29.63,7.94,35.98,23.13,4.95,18.03,22.86,25.98,6.97,5.08,2.37,14.1,5.97,5.4,5.99,3.29,94.52338208,Dihedral,No,Yes,No,Hertzian,Flat,1,Triangular,Ovoid,Feather,Rounded,0-30,No,indeterminate,other,Flake,
chert_condition_A,r42o8,42,complete,no,,10,Left,Proximal,Absent,5,UnidirectionalConvergent,0,3,0,0,43.8,69.37,64.75,13.62,65.14,62.19,9.4,37.68,61.72,37.86,10.19,9.21,7.81,18.55,7.25,7.41,7.95,2.6,81.07830348,Dihedral,Yes,Yes,No,Hertzian,Flat,1,Indeterminate,Amorphous,Hinge,Rounded,30-60,No,indeterminate,indeterminate,Flake,
chert_condition_A,r42o8,200,distal,no,,0,,,Absent,3,Indeterminate,0,0,0,0,3.2,41.34,25.85,4.74,,,,,,,,,,,,,,,0,,,,,,,,,,Feather,Pointed,0-30,No,indeterminate,indeterminate,Flake,
chert_condition_A,r42o8,87,complete,yes,splinters,0,,,Absent,8,Indeterminate,1,0,0,0,26.9,60.82,38.81,20.38,48.25,37.42,18.31,24.62,37.12,32,18.08,16.82,11.32,10.42,5.26,7.14,7.5,1.83,62.09366794,Plain,No,Yes,No,Hertzian,Flat,0,Righttriangle,Amorphous,Feather,Pointed,30-60,No,debordant,indeterminate,Flake,
chert_condition_A,r42o8,90,complete,no,,0,,,Absent,5,Indeterminate,1,0,0,0,9.8,45.92,36.71,10.98,44.37,41.87,4.31,38.45,31.9,21.53,8.41,4.16,4.35,39.3,6.71,5.22,8.95,1.72,59.00144925,Facetted,No,Yes,No,Hertzian,Bulbar,3,Trapezoidal,Convergent,Feather,Pointed,0-30,No,levallois,indeterminate,Convflake,slight break at distal
chert_condition_A,r42o8,104,complete,yes,right lateral,0,,,Absent,7,Multidirectional,2,0,0,0,9.4,48.01,40.19,7.66,46.15,35.64,6.89,7.03,30.58,36.93,5.84,6.48,4.66,12.03,5.56,5.33,6.24,2.19,71.53755918,Plain,No,Yes,Yes,Hertzian,Flat,1,Triangular,Amorphous,Feather,Irregular,0-30,No,indeterminate,indeterminate,Flake,
chert_condition_A,r42o8,21,proximal,no,,25,right,,Absent,1,Unidirectional,0,0,0,0,7.7,40,32.94,6.05,33.37,27.49,5.86,26.7,29.25,30.73,6.81,5.91,5.46,17.39,4.06,5.36,8.67,3.46,97.39409861,Facetted,No,No,Yes,Hertzian,Flat,0,Righttriangle,Parallel,Indeterminate,Flat,0-30,No,indeterminate,indeterminate,Flake,stepped term/broken
chert_condition_A,r42o8,103,complete,no,,0,,,Absent,6,Unidirectional,2,0,0,0,5.1,35.73,28.99,5.79,31.43,24.46,5.12,22.4,23.7,22.38,6.07,5.55,4.76,16.63,3.98,3.57,5.6,2.62,81.51229545,Dihedral,No,Yes,No,Hertzian,Flat,1,Triangular,Parallel,Feather,Irregular,0-30,No,indeterminate,indeterminate,Flake,slight break at distal
